"TOA5","CR5000","CR5000","","2.5","CPU:27Oct2015.cr5","41269","onemin"
"TIMESTAMP","RECORD","Rn_nr01_Avg","albedo_Avg","Rs_downwell_Avg","Rs_upwell_Avg","Rl_downwell_Avg","Rl_upwell_Avg","T_nr01_Avg","Rl_down_meas_Avg","Rl_up_meas_Avg","Rain_1_mm_Tot","Rain_2_mm_Tot"
"TS","RN","W/m^2","unitless","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2","W/m^2","mm","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot"
"2015-10-27 21:05:00",164,-2.892648,0.2023749,42.96403,8.694788,338.9177,376.0796,286.144,-41.2028,-4.040913,0,0
"2015-10-27 21:06:00",165,-3.866883,0.2032912,41.88786,8.515368,338.6907,375.9301,286.1256,-41.33252,-4.093143,0,0
"2015-10-27 21:07:00",166,-5.000843,0.2038085,40.64982,8.284938,338.4751,375.8409,286.1027,-41.42623,-4.060507,0,0
"2015-10-27 21:08:00",167,-5.914448,0.2032155,39.68833,8.065201,338.2328,375.7704,286.0756,-41.52447,-3.986887,0,0
"2015-10-27 21:09:00",168,-6.838036,0.2032598,38.31911,7.789041,338.0274,375.3955,286.0493,-41.59024,-4.222136,0,0
"2015-10-27 21:10:00",169,-7.934417,0.2029143,36.83543,7.474182,337.8145,375.1102,286.024,-41.66931,-4.37364,0,0
"2015-10-27 21:11:00",170,-9.084735,0.2029959,35.286,7.162792,337.6819,374.8899,285.997,-41.65849,-4.450551,0,0
"2015-10-27 21:12:00",171,-10.22355,0.2036539,33.82945,6.889645,337.5029,374.6663,285.9681,-41.68434,-4.520987,0,0
"2015-10-27 21:13:00",172,-11.42286,0.2050201,32.60704,6.684769,337.3023,374.6475,285.9408,-41.7401,-4.394969,0,0
"2015-10-27 21:14:00",173,-12.68598,0.2074797,31.37554,6.509609,337.0937,374.6456,285.914,-41.80645,-4.254541,0,0
"2015-10-27 21:15:00",174,-13.54273,0.2080057,30.08354,6.257492,336.9677,374.3364,285.8867,-41.78756,-4.418788,0,0
"2015-10-27 21:16:00",175,-14.52699,0.2093321,28.83153,6.035068,336.8134,374.1369,285.8603,-41.80203,-4.478573,0,0
"2015-10-27 21:17:00",176,-15.2773,0.2113978,27.69573,5.854704,336.688,373.8063,285.8324,-41.77957,-4.661243,0,0
"2015-10-27 21:18:00",177,-16.08278,0.2113148,26.69869,5.641823,336.5668,373.7065,285.8014,-41.73666,-4.597024,0,0
"2015-10-27 21:19:00",178,-16.85631,0.2108452,25.93416,5.468088,336.4822,373.8046,285.7742,-41.67722,-4.354832,0,0
"2015-10-27 21:20:00",179,-17.26912,0.214623,25.3594,5.442435,336.3759,373.562,285.7518,-41.66534,-4.479263,0,0
"2015-10-27 21:21:00",180,-17.40405,0.2154849,24.51372,5.282312,336.3582,372.9937,285.723,-41.53051,-4.895045,0,0
"2015-10-27 21:22:00",181,-18.00272,0.2165085,24.06836,5.210911,336.2804,373.1405,285.6986,-41.47942,-4.619239,0,0
"2015-10-27 21:23:00",182,-18.26735,0.217473,23.58546,5.1292,336.2619,372.9855,285.6733,-41.36411,-4.640508,0,0
